index,datasets_CC18_ids
0,3
1,6
2,11
3,12
4,14
5,15
6,16
7,18
8,22
9,23
10,28
11,29
12,31
13,32
14,37
15,38
16,44
17,46
18,50
19,54
20,151
21,182
22,188
23,300
24,307
25,458
26,469
27,554
28,1049
29,1050
30,1053
31,1063
32,1067
33,1068
34,1461
35,1462
36,1464
37,1468
38,1475
39,1478
40,1480
41,1485
42,1486
43,1487
44,1489
45,1494
46,1497
47,1501
48,1510
49,1590
50,4134
51,4534
52,4538
53,6332
54,23381
55,23517
56,40499
57,40668
58,40670
59,40701
60,40923
61,40927
62,40966
63,40975
64,40978
65,40979
66,40982
67,40983
68,40984
69,40994
70,40996
71,41027
